Année;Pays;Consommation_charbon;Production_charbon;Variation_pct_consommation_charbon;Variation_pct_production_charbon;Demande_électricité;Production_électricité;Électricité_biocarburants;Électricité_charbon;Variation_pct_consommation_énergie;Variation_pct_consommation_fossile;Consommation_combustibles_fossiles;Électricité_fossile;Consommation_pétrole;Variation_pct_consommation_pétrole;Électricité_pétrole;Variation_pct_production_pétrole;Production_pétrole;Variation_pct_consommation_gaz;Variation_pct_production_gaz;Consommation_gaz;Production_gaz;Électricité_gaz;Variation_pct_production_gaz;Consommation_nucléaire;Électricité_nucléaire;Consommation_hydroélectrique;Consommation_renouvelables;Émissions_gaz_effet_de_serre;Population
2005;Australia;638.222;2501.289;-0.576;4.708;215.7;215.7;3.63;171.4;0.421;0.131;1349.514;195.95;478.702;1.571;2.76;-1.768;294.556;-0.83;6.415;232.59;382.353;21.79;6.415;;0.0;44.285;60.836;154.36;20171732.0
2006;Australia;655.499;2556.841;2.707;2.221;219.91;219.91;3.62;170.88;4.289;4.376;1408.571;198.72;493.642;3.121;2.74;-8.691;268.957;11.54;6.4;259.431;406.822;25.1;6.4;0.0;0.0;42.525;62.267;155.57;20467032.0
2007;Australia;649.802;2640.855;-0.869;3.286;229.52;229.52;4.01;174.0;2.402;2.676;1446.271;208.59;506.27;2.558;3.26;6.503;286.446;11.86;5.086;290.198;427.512;31.33;5.086;;0.0;36.897;59.896;161.61;20830832.0
2008;Australia;677.291;2720.621;4.23;3.02;229.55;229.55;3.48;173.39;1.698;2.011;1475.357;211.06;512.716;1.273;3.5;-0.258;285.707;-1.671;-2.499;285.35;416.829;34.17;-2.499;;0.0;33.201;56.389;162.49;21247876.0
2009;Australia;654.861;2822.834;-3.312;3.757;234.74;234.74;2.66;174.01;-1.449;-1.694;1450.366;216.42;504.141;-1.672;3.1;-1.847;280.429;2.108;12.031;291.364;466.976;39.31;12.031;;0.0;35.306;59.178;165.06;21660898.0
2010;Australia;607.394;2914.79;-7.248;3.258;233.63;233.63;2.3;165.57;-0.047;-0.455;1443.765;212.5;519.307;3.008;2.92;2.177;286.533;8.821;12.694;317.064;526.255;44.01;12.694;;0.0;38.153;65.073;160.29;22019166.0
2011;Australia;592.062;2850.813;-2.524;-2.195;240.89;240.89;2.46;164.21;3.298;1.813;1469.942;213.56;547.06;5.344;2.77;-13.095;249.012;4.338;3.47;330.82;544.515;46.58;3.47;;0.0;53.992;88.66;160.52;22357032.0
2012;Australia;554.468;3091.909;-6.35;8.457;233.38;233.38;2.93;156.29;-1.443;-1.443;1448.736;206.75;561.419;2.625;3.39;-1.061;246.37;0.613;7.042;332.848;582.858;47.07;7.042;;0.0;46.712;87.377;154.79;22729272.0
2013;Australia;526.242;3323.743;-5.091;7.498;229.98;229.98;3.06;142.94;1.268;0.383;1454.284;195.78;578.037;2.96;4.36;-16.869;204.809;5.154;3.93;350.005;605.766;48.48;3.93;;0.0;52.025;101.302;145.42;23111788.0
2014;Australia;521.888;3559.449;-0.827;7.092;241.61;241.61;3.39;148.48;0.699;1.287;1472.994;205.46;575.428;-0.451;5.66;5.646;216.372;7.335;7.755;375.677;652.744;51.32;7.755;;0.0;39.239;93.464;152.38;23469578.0
2015;Australia;540.411;3555.703;3.549;-0.105;230.84;230.84;3.33;147.06;2.24;1.897;1500.939;197.72;570.579;-0.843;5.59;-9.683;195.421;3.799;13.824;389.95;742.977;45.07;13.824;;0.0;37.935;100.613;148.04;23820240.0
2016;Australia;540.062;3563.056;-0.065;0.207;246.07;246.07;3.48;155.96;0.326;-0.641;1491.312;207.66;571.723;0.201;5.49;-8.635;178.546;-2.673;26.625;379.527;940.797;46.21;26.625;;0.0;47.195;115.454;155.98;24195706.0
2017;Australia;521.526;3473.313;-3.432;-2.519;249.91;249.91;3.39;151.64;-0.299;0.177;1493.95;209.14;599.58;4.872;5.02;-9.454;161.666;-1.761;17.235;372.844;1102.946;52.48;17.235;;0.0;35.927;108.02;155.27;24590336.0
2018;Australia;508.882;3638.038;-2.424;4.743;250.38;250.38;3.5;152.53;1.467;-0.204;1490.901;207.45;610.111;1.756;4.78;5.618;170.749;-0.251;15.51;371.908;1274.019;50.14;15.51;;0.0;45.801;134.564;154.81;24979228.0
2019;Australia;486.392;3662.102;-4.42;0.661;249.86;249.86;3.24;139.98;3.371;2.7;1531.156;196.45;604.194;-0.97;4.42;31.148;223.933;18.462;14.678;440.57;1461.024;52.05;14.678;;0.0;36.958;149.099;145.42;25357168.0
2005;Brazil;151.085;33.071;-3.557;4.861;434.76;395.72;12.79;10.81;2.602;1.436;1454.032;39.56;1101.676;1.672;11.05;9.984;1034.854;4.164;-1.094;201.271;112.414;17.7;-1.094;27.079;9.2;966.278;1095.285;36.34;186797344.0
